iter	MultiClass
0	0.6861626387
1	0.6767436311
2	0.6671364796
3	0.6586550435
4	0.6510818359
5	0.6435778111
6	0.6366303151
7	0.6310723799
8	0.6249911508
9	0.6184780005
10	0.6123752275
11	0.6063152309
12	0.6013604414
13	0.5955782153
14	0.5900862268
15	0.5847798555
16	0.5793920643
17	0.5751313108
18	0.5697068706
19	0.565186948
20	0.5606968115
21	0.5555884135
22	0.5507223957
23	0.5471463252
24	0.5426167037
25	0.5379769057
26	0.5340329661
27	0.5303792366
28	0.5260075418
29	0.522919298
30	0.5190740071
31	0.5149656195
32	0.5119655158
33	0.5085262356
34	0.50586661
35	0.5015702439
36	0.4983920763
37	0.4952930358
38	0.4919492132
39	0.4890738847
40	0.4862654015
41	0.4831356936
42	0.4802819196
43	0.4782599803
44	0.4742348394
45	0.4715664845
46	0.4678121473
47	0.4650163803
48	0.4631352853
49	0.4604965595
50	0.4583573687
51	0.4554388476
52	0.4520956236
53	0.4495319278
54	0.4466374843
55	0.444010187
56	0.4415217713
57	0.4395585343
58	0.4374897597
59	0.4354975295
60	0.4330872928
61	0.4311168386
62	0.4289632222
63	0.4265997691
64	0.4245689179
65	0.4223925888
66	0.4191541424
67	0.4168347994
68	0.4142611833
69	0.4120640266
70	0.4096977692
71	0.4066908512
72	0.404586751
73	0.4029216845
74	0.4004816632
75	0.3980970871
76	0.3968691893
77	0.395341571
78	0.393923022
79	0.3918214228
80	0.3895462078
81	0.3874320919
82	0.3863472826
83	0.3846950307
84	0.383493436
85	0.3810926258
86	0.3793954987
87	0.3778578554
88	0.3761619135
89	0.3751368092
90	0.3734821438
91	0.3717918889
92	0.3699551214
93	0.3684567603
94	0.3667739912
95	0.3641880304
96	0.3628728892
97	0.362000245
98	0.3598049172
99	0.3587354351
100	0.3571409597
101	0.3549136948
102	0.3534382562
103	0.3515222805
104	0.3494864902
105	0.3476580671
106	0.3468377207
107	0.3450526916
108	0.3437048288
109	0.342380333
110	0.3410564105
111	0.3395880835
112	0.3383379198
113	0.3363565074
114	0.3345710973
115	0.3327774824
116	0.3309942726
117	0.3299920858
118	0.3284728458
119	0.3281760609
120	0.3260861891
121	0.3252170643
122	0.3238241156
123	0.3217285679
124	0.3206375672
125	0.3195158122
126	0.3180481324
127	0.3167425537
128	0.3150414676
129	0.3133524564
130	0.3116625203
131	0.3102122321
132	0.3088370793
133	0.3066321053
134	0.3050215407
135	0.3039343149
136	0.302667812
137	0.3005401335
138	0.2989756993
139	0.2975116866
140	0.2964179808
141	0.2953662998
142	0.2941737546
143	0.2920949411
144	0.2911529484
145	0.2896113037
146	0.2882153919
147	0.2871796012
148	0.2861082066
149	0.2850001539
150	0.2837377908
151	0.2827841553
152	0.2813321709
153	0.2798966498
154	0.2784874461
155	0.2772106578
156	0.2758110423
157	0.2746248278
158	0.2732520057
159	0.2714653923
160	0.2702959138
161	0.2695121252
162	0.2687261219
163	0.2676793908
164	0.2664610107
165	0.2655287357
166	0.2637856491
167	0.2624381753
168	0.2611922945
169	0.2601231743
170	0.2590419005
171	0.2572442045
172	0.2558797906
173	0.2548288984
174	0.2537818696
175	0.2524289488
176	0.2514249387
177	0.2504068019
178	0.249252974
179	0.2483192265
180	0.2473194315
181	0.2465642135
182	0.2454192588
183	0.2445591528
184	0.2436095378
185	0.2421307252
186	0.2412665479
187	0.239824993
188	0.2386274954
189	0.2373508473
190	0.2365469586
191	0.2357016161
192	0.2345261892
193	0.2334695177
194	0.2324820961
195	0.2313900803
196	0.2304589795
197	0.2292799592
198	0.2281659826
199	0.2272636669
200	0.2261793841
201	0.2253855849
202	0.2247870372
203	0.2241644102
204	0.2230568889
205	0.2219213926
206	0.2204274559
207	0.2192979787
208	0.2178461234
209	0.2172662058
210	0.2163493952
211	0.2155041706
212	0.2144554618
213	0.2132789129
214	0.2124804582
215	0.2118099669
216	0.2105459389
217	0.2100023593
218	0.2088186608
219	0.2078217653
220	0.2070661646
221	0.2058953475
222	0.2045273204
223	0.20360599
