iter	Passed	Remaining
0	7	7423
1	12	6102
2	15	5315
3	20	5207
4	25	5070
5	29	4913
6	33	4734
7	38	4809
8	43	4758
9	46	4647
10	50	4564
11	54	4517
12	58	4447
13	62	4380
14	65	4328
15	70	4343
16	74	4331
17	78	4291
18	83	4285
19	86	4259
20	90	4219
21	94	4183
22	97	4148
23	102	4170
24	106	4144
25	109	4109
26	113	4080
27	117	4089
28	121	4065
29	124	4041
30	128	4026
31	133	4049
32	137	4032
33	141	4010
34	145	4010
35	150	4018
36	153	4005
37	157	3987
38	161	3969
39	165	3979
40	169	3961
41	173	3950
42	176	3937
43	181	3943
44	185	3931
45	189	3925
46	192	3907
47	197	3917
48	201	3902
49	206	3914
50	209	3903
51	214	3912
52	218	3901
53	222	3889
54	225	3877
55	230	3881
56	234	3872
57	237	3859
58	241	3849
59	246	3860
60	250	3858
61	254	3850
62	258	3837
63	262	3841
64	266	3830
65	269	3818
66	273	3806
67	277	3808
68	281	3798
69	285	3787
70	288	3781
71	293	3783
72	297	3775
73	300	3765
74	304	3756
75	309	3762
76	313	3752
77	316	3744
78	320	3742
79	325	3748
80	329	3739
81	333	3733
82	337	3727
83	341	3728
84	345	3717
85	349	3715
86	353	3705
87	357	3705
88	361	3696
89	365	3691
90	368	3682
91	373	3682
92	376	3676
93	380	3668
94	384	3660
95	388	3663
96	392	3655
97	396	3648
98	399	3638
99	404	3639
100	408	3635
101	412	3629
102	415	3621
103	420	3622
104	424	3614
105	427	3606
106	431	3598
107	435	3598
108	440	3597
109	444	3596
110	448	3591
111	453	3598
112	457	3590
113	461	3584
114	464	3578
115	469	3580
116	473	3576
117	477	3570
118	481	3563
119	486	3566
120	490	3560
121	493	3555
122	497	3546
123	502	3547
124	505	3540
125	509	3534
126	513	3527
127	517	3526
128	521	3520
129	525	3514
130	528	3508
131	533	3507
132	537	3501
133	540	3494
134	544	3487
135	549	3488
136	553	3483
137	556	3477
138	560	3470
139	564	3468
140	568	3462
141	572	3456
142	575	3450
143	580	3449
144	584	3443
145	587	3437
146	591	3431
147	595	3428
148	599	3423
149	602	3416
150	606	3410
151	610	3406
152	615	3405
153	618	3398
154	622	3395
155	627	3396
156	632	3394
157	636	3389
158	639	3383
159	644	3382
160	648	3379
161	652	3373
162	655	3366
163	660	3366
164	664	3360
165	667	3354
166	671	3349
167	675	3347
168	679	3342
169	683	3336
170	687	3330
171	690	3324
172	695	3323
173	699	3319
174	703	3315
175	706	3309
176	711	3308
177	715	3302
178	718	3296
179	722	3290
180	726	3289
181	730	3283
182	734	3278
183	738	3272
184	742	3271
185	746	3265
186	750	3261
187	753	3255
188	758	3252
189	761	3246
190	765	3241
191	768	3235
192	773	3235
193	777	3230
194	781	3224
195	784	3219
196	789	3217
197	792	3211
198	796	3205
199	800	3203
200	805	3200
201	809	3196
202	812	3191
203	816	3186
204	821	3183
205	824	3178
206	828	3173
207	832	3169
208	836	3167
209	840	3161
210	844	3157
211	847	3151
212	852	3149
213	856	3144
214	859	3138
215	863	3132
216	866	3128
217	871	3125
218	875	3120
219	878	3114
220	882	3109
221	886	3107
222	890	3103
223	894	3100
224	899	3098
225	903	3095
226	907	3090
227	911	3086
228	916	3084
229	919	3079
230	923	3075
231	927	3069
232	932	3068
233	936	3064
234	940	3060
235	944	3056
236	948	3054
237	952	3050
238	956	3045
239	960	3041
240	966	3042
241	970	3039
242	974	3035
243	978	3030
244	983	3030
245	987	3025
246	990	3020
247	995	3017
248	1000	3016
249	1004	3012
250	1009	3012
251	1016	3018
252	1022	3019
253	1028	3020
254	1034	3023
255	1039	3019
256	1045	3021
257	1050	3021
258	1055	3020
259	1060	3018
260	1066	3018
261	1071	3017
262	1077	3019
263	1083	3020
264	1088	3018
265	1093	3018
266	1099	3017
267	1103	3014
268	1110	3016
269	1115	3015
270	1119	3011
271	1124	3010
272	1129	3008
273	1134	3006
274	1139	3002
275	1143	3000
276	1148	2997
277	1153	2996
278	1159	2996
279	1163	2992
280	1167	2988
281	1173	2988
282	1178	2985
283	1182	2981
284	1187	2979
285	1191	2975
286	1196	2973
287	1201	2970
288	1206	2968
289	1211	2966
290	1216	2963
291	1221	2962
292	1226	2959
293	1231	2956
294	1236	2953
295	1240	2951
296	1245	2947
297	1249	2943
298	1255	2942
299	1259	2939
300	1265	2938
301	1273	2944
302	1280	2944
303	1290	2955
304	1300	2964
305	1309	2970
306	1317	2973
307	1324	2976
308	1331	2976
309	1340	2982
310	1352	2996
311	1363	3006
312	1373	3014
313	1385	3026
314	1392	3027
315	1401	3034
316	1410	3039
